ime,drzava,rang,t_alltime,sezone,t_enodnevne,t_GC,t_kronometer,t_sprint,t_gore,t_hribi,zmage,etapne,GC,enodnevne,kronometer,grand tour zac.,grand tour zmage,spomeniki zac.,spomeniki zmage
Bobby  Julich,United States,486,225.3,17,748,3884,4513,1063,1038,576,12,6,4,2,7,13,0,11,0
Reimund  Dietzen,Germany,487,224.2,9,544,2671,1878,1077,1212,259,21,12,6,3,3,13,0,1,0
Javier Francisco  Elorriaga,Spain,488,224.1,9,687,1385,1594,4808,10,0,36,29,4,3,4,10,0,4,0
Matthew  Goss,Australia,489,224.0,11,1660,398,94,3452,95,726,17,13,0,4,0,9,0,15,1
Mario  Ricci,Italy,490,223.4,14,3451,139,162,2110,509,242,16,7,0,9,0,7,0,13,2
George  Hincapie,United States,491,222.6,20,3727,1980,3508,4672,658,894,18,9,2,7,1,20,0,49,0
Francisco  Gabica,Spain,492,222.1,11,729,4380,3557,2219,824,109,16,11,1,4,5,20,1,4,0
Jasper  Stuyven,Belgium,493,222.0,14,4608,1273,284,2156,697,3239,9,3,1,5,0,12,0,26,1
Aleksandr  Vlasov,Russia,494,221.6,10,1418,3533,916,95,3791,1314,12,6,2,4,2,8,0,9,0
Domenico  Pozzovivo,Italy,495,220.3,23,2633,6513,819,832,6288,1812,13,11,2,0,0,25,0,25,0
Lars  Boom,Netherlands,496,219.9,16,1484,2101,2981,1762,145,585,24,15,6,3,7,8,0,25,0
Josef  Fuchs,Switzerland,497,219.0,12,1790,3896,2092,2014,536,34,13,7,1,5,2,11,0,11,1
Firmin  Lambot,Belgium,498,218.5,12,320,2434,0,1077,1970,0,8,6,2,0,0,10,2,5,0
Léon van Bon,Netherlands,499,217.9,20,4100,621,894,3698,258,294,19,11,1,7,0,14,0,38,0
Antonio  Karmany,Spain,500,217.4,9,853,1955,899,2326,18,0,21,14,2,5,3,11,0,0,0
Willy  Bocklant,Belgium,501,217.3,10,4352,593,262,3049,552,462,13,4,1,8,1,3,0,20,1
Roger  Rosiers,Belgium,502,217.0,16,5085,965,841,4289,230,22,12,3,2,7,1,8,0,26,1
Jos  Jacobs,Belgium,503,216.5,13,3345,659,496,4226,316,607,21,8,0,13,0,7,0,13,0
Francis  Pélissier,France,504,216.1,11,2204,435,50,2204,378,0,18,6,2,10,1,6,0,7,0
Olav  Kooij,Netherlands,505,216.2,5,1187,555,72,2431,48,767,33,27,3,3,0,1,0,1,0
Ole  Ritter,Denmark,506,216.0,12,2164,1474,2726,2256,414,115,15,10,1,4,9,10,0,12,0
Frans  Melckenbeeck,Belgium,507,215.4,11,2604,191,202,3381,50,178,23,16,0,7,0,5,0,8,1
Danny van Poppel,Netherlands,508,215.3,13,3170,660,393,4522,198,1598,20,14,0,6,2,11,0,16,0
Johan De Muynck,Belgium,509,215.0,13,1948,2941,1933,1802,624,253,12,8,2,2,1,13,1,14,0
Sergei  Ivanov,Russia,510,214.7,17,3235,1596,922,3040,560,674,26,13,2,11,2,12,0,34,0
Giovanni  Gerbi,Italy,511,214.4,15,2254,695,112,1918,324,0,17,2,2,13,0,8,0,8,1
Pedro  Muñoz,Spain,512,214.3,11,603,3470,1574,2182,433,9,19,14,2,3,1,18,0,2,0
Esteban  Chaves,Colombia,513,213.4,14,1203,3313,225,164,3766,1360,17,11,2,4,0,16,0,8,1
Lucien  Aimar,France,514,212.6,11,1912,4058,916,2266,1860,544,9,3,2,4,1,12,1,19,0
José Iván  Gutiérrez,Spain,515,212.0,16,931,2218,3633,1279,326,187,25,12,4,9,10,14,0,27,0
Marcel  Janssens,Belgium,516,210.4,13,3579,1067,542,2980,307,80,11,5,1,5,0,10,0,26,0
Nick  Nuyens,Belgium,517,210.2,14,2888,1115,761,1884,235,266,20,7,3,10,1,8,0,23,1
Simon  Špilak,Slovenia,518,209.9,15,685,4166,1379,392,1721,672,12,7,3,2,0,5,0,11,0
Ángel  Vicioso,Spain,519,209.3,20,1784,1708,1236,2312,546,668,24,15,1,8,1,17,0,27,0
Bernt  Johansson,Sweden,520,209.2,8,2062,798,833,1587,278,13,15,5,1,9,4,6,0,4,0
Michael  Rich,Germany,521,208.5,18,191,865,4757,251,2,0,31,16,3,12,27,3,0,11,0
Antonio  Barrutia,Spain,522,208.5,12,989,1093,192,3110,22,89,27,17,3,7,0,13,0,0,0
Pello  Bilbao,Spain,523,208.3,14,1313,4391,1075,450,4514,2020,17,15,0,2,1,16,0,9,0
Frédéric  Moncassin,France,524,207.6,11,2268,373,279,5336,212,758,23,18,1,4,0,7,0,18,0
Daniel Felipe  Martínez,Colombia,525,207.4,10,728,2809,1203,34,2408,736,15,6,3,6,5,10,0,11,0
Thierry  Claveyrolat,France,526,207.0,13,1257,2107,63,2288,818,132,22,14,2,6,0,11,0,1,0
Matti  Breschel,Denmark,527,206.4,16,3243,1274,41,3716,520,1042,22,18,1,3,0,9,0,36,0
Juan Carlos  Domínguez,Spain,528,205.9,15,173,3096,3032,1086,160,186,23,12,11,0,6,14,0,6,0
Joseph  Demuysere,Belgium,529,205.6,9,1336,2024,280,3580,232,0,7,4,0,3,0,8,0,9,1
Stefano  Colagè,Italy,530,205.6,15,3726,897,166,3008,353,508,14,4,1,9,1,15,0,16,0
Diego  Ronchini,Italy,531,205.8,12,2765,1084,1232,1841,382,130,9,1,0,8,1,10,0,15,1
Jesper  Skibby,Denmark,532,205.1,15,1873,1594,2095,2708,794,933,20,18,1,1,1,22,0,18,0
Vasil  Kiryienka,Belarus,533,205.0,20,506,1538,4521,510,1276,598,20,8,1,11,11,20,0,18,0
Victor Van Schil,Belgium,534,204.8,16,4455,1649,730,4294,941,400,15,4,0,11,0,21,0,28,0
Sylvain  Grysolle,Belgium,535,204.9,15,3094,234,0,2325,182,0,23,10,0,13,0,0,0,13,1
Eric Van Lancker,Belgium,536,204.6,13,2465,1246,414,1672,458,101,14,10,0,4,0,12,0,14,1
Danilo  Napolitano,Italy,537,204.4,17,1568,276,8,6190,16,268,38,32,0,6,0,6,0,10,0
Jo  Planckaert,Belgium,538,204.0,14,4575,383,0,5444,42,24,19,10,2,7,0,2,0,26,0
Michael  Woods,Canada,539,204.0,12,2973,2225,40,186,4232,1675,15,11,2,2,0,11,0,16,0
Erich  Mächler,Switzerland,540,203.9,13,1630,1347,1689,1380,218,5,20,13,2,5,5,16,0,18,1
Ben  Hermans,Belgium,541,203.8,19,1612,3455,617,923,1726,876,19,11,5,3,1,7,0,16,0
Cyrille Van Hauwaert,Belgium,542,203.1,8,2783,630,0,1635,1016,0,8,3,0,5,0,4,0,13,2
Juan Antonio  Flecha,Spain,543,202.9,14,4037,1809,680,2606,665,748,8,4,1,3,0,19,0,43,0
Vicente  Iturat,Spain,544,202.3,14,726,1508,145,5206,76,103,18,14,1,3,1,13,0,0,0
Roberto  Poggiali,Italy,545,201.9,17,3637,2440,435,2521,547,64,9,2,1,6,0,19,0,27,0
Lucien  Buysse,Belgium,546,202.2,15,1229,1864,0,1816,950,0,8,7,1,0,0,10,1,9,0
Angel  Arroyo,Spain,547,201.9,11,865,3052,1446,1642,1116,110,18,14,2,2,3,17,0,1,0
Max van Heeswijk,Netherlands,548,201.7,15,2216,480,248,4254,49,214,37,32,0,5,0,10,0,20,0
Paolo  Rosola,Italy,549,201.1,12,593,234,60,3830,90,158,24,22,0,2,0,13,0,4,0
Urs  Zimmermann,Switzerland,550,201.1,12,911,2732,857,1207,486,44,9,3,4,2,0,11,0,6,0
Gerald  Ciolek,Germany,551,200.7,12,1977,716,177,4242,204,637,24,19,1,4,0,7,0,14,1
Dylan  Teuns,Belgium,552,199.9,13,2031,2686,528,435,2728,2230,14,10,3,1,1,8,0,22,0
Gustaaf  Deloor,Belgium,553,199.5,6,460,1410,131,1883,218,0,11,8,2,1,0,3,2,4,0
Franco  Pellizotti,Italy,554,199.0,18,2674,3040,1011,1516,3545,1383,12,7,1,4,1,19,0,35,0
Gianni  Faresin,Italy,555,197.9,19,4554,2288,969,1918,876,506,11,3,1,7,0,21,0,24,1
David  Etxebarria,Spain,556,197.6,12,2099,2013,739,2780,1091,646,16,13,1,2,1,12,0,14,0
Henry  Anglade,France,557,197.5,11,946,3614,2250,2348,1052,230,12,5,2,5,0,11,0,8,0
Fabian  Wegmann,Germany,558,197.6,18,4700,864,108,2306,868,550,16,3,1,12,0,11,0,36,0
Tony  Gallopin,France,559,196.4,17,3129,2384,1086,1269,2250,2376,12,8,1,3,2,16,0,28,0
Jozef  Lieckens,Belgium,560,196.2,12,3215,399,180,4150,171,644,19,13,1,5,0,6,0,14,0
Antoon  Houbrechts,Belgium,561,195.6,15,3140,3503,1310,2533,1480,304,15,7,3,5,2,13,0,27,0
Enric  Mas,Spain,562,195.5,10,742,4293,656,67,4894,1188,6,4,1,1,0,12,0,10,0
Rolf  Maurer,Switzerland,563,195.5,10,1496,2359,1230,2334,22,27,10,6,2,2,1,5,0,7,0
Udo  Bölts,Germany,564,194.9,16,2532,2968,1142,1963,1142,280,20,9,2,9,1,18,0,20,0
Leo van Vliet,Netherlands,565,194.9,10,1848,1225,317,3626,431,730,23,18,1,4,0,6,0,9,0
Ronald De Witte,Belgium,566,194.7,15,3493,1959,513,3234,750,317,11,8,0,3,0,15,0,21,0
Hendrik  Redant,Belgium,567,194.6,12,3799,419,76,4120,96,222,22,11,1,10,0,10,0,18,0
Rinaldo  Nocentini,Italy,568,194.7,21,3179,2472,346,2147,1743,1466,17,9,1,7,0,17,0,27,0
Rolf  Järmann,Switzerland,569,194.3,13,1522,1794,342,2051,236,319,15,9,2,4,0,12,0,21,0
Nello  Lauredi,France,570,194.2,10,632,2531,1098,1997,789,490,12,8,3,1,2,13,0,10,0
Markus  Zberg,Switzerland,571,193.7,14,3979,1344,245,4305,596,204,11,6,0,5,0,5,0,34,0
Gregor  Braun,Germany,572,194.0,11,2064,1068,2319,1438,38,42,22,11,4,7,5,8,0,17,0
Miguel Ángel  Martín Perdiguero,Spain,573,193.9,10,1868,1208,484,3402,763,694,21,14,2,5,1,11,0,15,0
Michele  Mara,Italy,574,193.8,8,1958,390,0,2119,369,0,14,8,0,6,0,7,0,10,2
Magnus  Cort,Denmark,575,193.5,13,1054,1138,775,1920,933,2246,27,26,0,1,0,12,0,17,0
Andreas  Kappes,Germany,576,193.2,16,2632,1143,168,4668,186,408,25,19,1,5,0,10,0,19,0
Giancarlo  Astrua,Italy,577,193.0,11,2058,2166,1192,2320,730,280,8,5,0,3,2,15,0,13,0
Michael  Wright,Great Britain,578,192.9,15,2001,1090,258,3534,786,1154,18,13,0,5,0,11,0,11,0
Pello  Ruíz Cabestany,Spain,579,192.6,12,714,3270,2652,1955,1610,743,17,13,3,1,4,17,0,9,0
Bartolomeo  Aimo,Italy,580,192.4,11,1678,1990,0,2468,852,0,9,8,0,1,0,9,0,11,0
Romain  Feillu,France,581,192.1,15,3094,504,252,5186,79,437,20,11,2,7,0,6,0,3,0
Endrio  Leoni,Italy,582,191.1,13,776,80,100,4696,10,98,26,22,0,4,0,13,0,7,0
Fabio  Aru,Italy,583,191.1,12,931,3573,580,182,4034,1114,9,7,1,1,0,14,1,8,0
Jesús  Herrada,Spain,584,190.8,16,2021,2285,912,481,2026,1366,21,13,1,7,0,14,0,23,0
Rein  Taaramäe,Estonia,585,190.8,18,737,2974,1547,554,1823,662,22,6,4,12,8,19,0,14,0
Giovanni  Mantovani,Italy,586,190.4,13,2341,373,80,3904,328,146,19,13,1,5,0,10,0,7,0
Sep  Vanmarcke,Belgium,587,190.1,17,4870,781,267,1938,380,1746,9,4,1,4,0,7,0,28,0
Jos  Hoevenaers,Belgium,588,190.3,10,2510,1690,392,3626,940,410,9,3,1,5,0,11,0,18,0
Éric  Caritoux,France,589,189.7,13,1596,4858,1020,2494,984,247,13,6,2,5,0,17,1,12,0
Achiel  Buysse,Belgium,590,189.5,11,3246,0,0,1890,64,0,13,1,0,12,0,0,0,16,3
Kurt-Asle  Arvesen,Norway,591,189.5,15,2243,1570,1048,2192,318,576,20,6,4,10,2,11,0,25,0
Fermo  Camellini,France,592,189.4,13,1896,1729,618,2094,796,460,12,4,1,7,2,5,0,12,0
Angelino  Soler,Spain,593,188.4,9,384,2499,845,1635,320,82,17,12,4,1,0,8,1,2,0
Robert  Hunter,South Africa,594,187.7,16,1038,1111,1327,4185,68,483,35,29,2,4,2,17,0,28,0
Peter  Post,Netherlands,595,187.7,13,2364,1166,332,2264,152,32,17,8,3,6,1,1,0,10,1
Ronan  Pensec,France,596,187.4,13,1468,3516,982,2120,704,350,9,3,3,3,0,10,0,13,0
Antonio  Gelabert,Spain,597,186.7,11,735,1793,246,2643,388,100,22,14,3,5,0,9,0,0,0
Marcel  Buysse,Belgium,598,185.5,9,857,1182,0,2105,664,0,10,8,0,2,0,7,0,5,1
Jacky  Durand,France,599,185.1,17,1615,903,2069,1926,151,709,18,11,0,7,2,15,0,25,1
Enrico  Gasparotto,Switzerland,600,184.8,17,3247,1443,533,1967,1330,1830,10,4,1,5,0,14,0,30,0
Jesús  Blanco,Spain,601,184.7,15,440,2939,3383,1162,626,480,24,19,5,0,9,14,0,0,0
Lech  Piasecki,Poland,602,184.3,8,186,333,2550,479,0,0,21,12,3,6,11,7,0,0,0
Martin Van Geneugden,Belgium,603,184.0,11,2241,438,54,3321,358,220,22,15,0,7,0,11,0,15,0
Francesco  Camusso,Italy,604,184.2,10,774,1690,477,2464,366,0,9,8,1,0,0,14,1,8,0
Giovanni  Cuniolo,Italy,605,183.6,9,2379,140,0,1766,58,0,19,1,0,18,0,2,0,6,1
Aitor  González,Spain,606,183.3,6,231,1602,1812,738,892,619,15,11,3,1,5,10,1,2,0
Johan  Bruyneel,Belgium,607,183.3,12,1155,2274,2666,1528,874,557,16,13,0,3,3,9,0,8,0
Graeme Allen  Brown,Australia,608,181.9,17,1571,243,62,5399,16,142,26,22,0,4,0,9,0,4,0
Romain  Bellenger,France,609,181.8,11,1447,930,0,2406,971,0,16,7,1,8,0,8,0,5,0
Biniam  Girmay,Eritrea,610,181.7,6,2187,73,112,1004,226,1660,16,10,0,6,1,4,0,5,0
Giuseppe  Martano,Italy,611,181.8,9,648,1545,782,2644,212,0,8,5,2,1,0,10,0,5,0
Federico  Gay,Italy,612,181.1,9,2219,1255,0,2472,771,0,9,5,1,3,0,7,0,14,0
Ángel  Edo,Spain,613,180.9,17,1008,888,120,6172,169,998,41,39,1,1,0,15,0,8,0
Stefan  Mutter,Switzerland,614,180.5,12,2458,2359,1272,3269,688,535,8,5,1,2,1,10,0,20,0
Wladimir  Belli,Italy,615,180.1,17,1956,4458,1683,1870,1889,572,7,4,1,2,1,22,0,21,0
Maximilian  Schachmann,Germany,616,180.2,12,1384,1813,1640,166,1839,1658,14,9,2,3,1,6,0,9,0
François  Mahé,France,617,180.0,16,1758,3378,682,3359,436,140,9,8,0,1,0,15,0,24,0
Jules Van Hevel,Belgium,618,179.9,13,2440,200,0,1638,26,0,16,3,1,12,0,1,0,11,2
Arie den Hartog,Netherlands,619,179.9,9,1539,1674,706,1609,136,140,13,5,2,6,1,7,0,13,1
Jean  Rossius,Belgium,620,179.6,11,1920,920,0,1940,1001,0,9,5,1,3,0,7,0,11,0
Yauheni  Hutarovich,Belarus,621,179.3,13,2368,228,18,4878,23,230,29,21,0,8,0,5,0,13,0
Jans  Koerts,Netherlands,622,178.6,15,2547,37,42,4866,27,40,28,17,0,11,0,3,0,12,0
Albert Van Vlierberghe,Belgium,623,178.2,14,2260,817,9,3519,140,418,15,8,0,7,0,17,0,11,0
Roger  Decock,Belgium,624,178.2,13,3525,627,765,2621,389,255,12,4,1,7,1,4,0,22,1
Guido De Rosso,Italy,625,178.3,9,2439,1866,824,2104,532,117,12,2,1,9,0,9,0,9,0
Fred  Rodriguez,United States,626,178.0,18,2126,657,152,4524,111,878,25,17,0,8,0,10,0,9,0
Fabiano  Fontanelli,Italy,627,177.6,15,1948,432,277,3250,66,133,27,18,2,7,1,20,0,20,0
Cino  Cinelli,Italy,628,177.3,9,2182,396,166,1453,468,0,13,6,1,6,0,4,0,12,2
Malcolm  Elliott,Great Britain,629,176.5,17,501,728,401,3429,480,762,38,34,2,2,3,8,0,1,0
Steffen  Wesemann,Switzerland,630,176.5,18,2812,875,904,2510,64,217,20,13,3,4,3,11,0,39,1
Jesús  Suárez,Spain,631,176.2,13,900,975,94,5138,284,277,26,21,3,2,1,14,0,3,0
Edgard  Sorgeloos,Belgium,632,175.6,15,1938,1303,58,4078,72,153,13,6,0,7,0,18,0,23,0
Romain  Maes,Belgium,633,175.4,6,1121,632,980,1820,71,0,10,6,2,2,1,4,1,7,0
Rubén  Plaza,Spain,634,175.3,18,450,2409,2022,698,1126,470,26,17,6,3,5,14,0,11,0
Jan  Bogaert,Belgium,635,175.3,17,3138,480,543,4360,78,46,42,31,1,10,1,4,0,12,0
Odiel  Defraeye,Belgium,636,175.1,8,612,684,0,1494,484,0,13,9,2,2,0,7,1,5,1
Bruno  Leali,Italy,637,174.9,16,2570,1237,470,1832,155,435,9,5,1,3,1,24,0,18,0
Eduardo  Chozas,Spain,638,174.7,15,819,3851,612,1815,964,321,18,13,3,2,0,27,0,9,0
Eddy  Peelman,Belgium,639,174.6,11,954,201,2,3282,6,6,29,26,0,3,0,8,0,4,0
Bob  Jungels,Luxembourg,640,174.4,14,1195,2619,2691,400,1642,1275,25,7,1,17,10,13,0,16,1
Ramón  Saéz,Spain,641,174.5,8,738,437,493,3602,26,66,27,21,1,5,1,8,0,1,0
Angelo  Gremo,Italy,642,174.7,14,2622,1205,156,1960,510,0,9,1,0,8,1,12,0,24,1
Stijn  Devolder,Belgium,643,174.4,21,1734,1866,2516,928,418,231,18,6,5,7,7,8,0,40,2
Jacques  Bossis,France,644,174.2,11,2290,1238,1102,2220,232,224,15,8,0,7,4,8,0,10,0
Charles  Crupelandt,France,645,173.9,7,1665,560,0,880,904,0,9,4,0,5,0,7,0,8,2
Max  Bulla,Austria,646,173.5,13,1041,904,0,2674,116,100,16,10,1,5,0,6,0,1,0
Francisco Antonio  Andrés,Spain,647,173.4,14,126,2454,1514,2365,38,0,19,11,5,3,8,7,0,0,0
Victor  Fontan,France,648,173.1,7,228,1814,0,1584,241,0,12,7,4,1,0,5,0,1,0
Glauco  Servadei,Italy,649,172.4,14,2108,468,128,3322,342,0,10,8,0,2,0,8,0,12,0
Marc  Wauters,Belgium,650,172.4,18,1988,1714,2496,1649,73,178,17,6,3,8,7,15,0,46,0
Oreste  Conte,Italy,651,172.2,15,1280,145,140,2594,221,0,16,14,0,2,0,10,0,17,0
Benoni  Beheyt,Belgium,652,172.1,5,2622,315,38,2450,424,884,8,3,1,4,0,3,0,11,0
Jakub  Mareczko,Italy,653,172.0,11,502,385,20,4618,4,244,49,47,2,0,0,6,0,4,0
Heinrich  Haussler,Australia,654,172.1,20,3054,840,276,3836,170,994,22,20,0,2,0,12,0,43,0
Gianni  Meersman,Belgium,655,171.5,13,1228,970,328,2592,392,1309,20,16,1,3,2,8,0,6,0
Roger  Hassenforder,France,656,171.5,9,939,221,116,1858,32,22,18,13,1,4,0,7,0,7,0
Francisco José  Ventoso,Spain,657,171.1,18,1952,1033,161,3582,203,641,27,21,2,4,0,18,0,37,0
Denis  Verschueren,Belgium,658,171.1,11,2249,162,0,1572,35,0,13,4,1,8,0,1,0,7,1
Pierino  Favalli,Italy,659,170.9,8,2627,40,30,1430,294,0,12,1,0,11,0,3,0,10,1
Salvador  Cardona,France,660,170.6,9,116,2030,54,2076,226,0,26,20,4,2,1,7,0,0,0
Kenny van Hummel,Netherlands,661,170.5,13,2225,359,29,5479,37,60,23,17,1,5,0,2,0,5,0
Alessandro  Bertolini,Italy,662,170.6,21,2768,500,38,2086,464,261,20,9,1,10,0,16,0,22,0
Martin  Elmiger,Switzerland,663,170.1,19,2960,1838,1403,2690,412,748,15,4,3,8,0,9,0,47,0
Frans  Schoubben,Belgium,664,170.0,9,3361,325,88,2612,221,0,14,7,0,7,0,3,0,23,1
Paul  Egli,Switzerland,665,169.9,11,2015,647,140,2342,41,90,12,6,0,6,0,3,0,3,0
Jean  Brankart,Belgium,666,169.7,8,739,2246,2658,1319,434,0,10,9,1,0,7,9,0,7,0
Hippolyte  Aucouturier,France,667,169.6,8,1460,380,0,809,835,0,9,5,0,4,0,5,0,5,2
Francesco  Gavazzi,Italy,668,169.4,19,2993,1395,43,2082,1142,2030,13,10,0,3,0,11,0,32,0
Gert  Steegmans,Belgium,669,169.2,16,1471,735,279,3226,40,50,26,17,1,8,0,10,0,15,0
Georges  Vanconingsloo,Belgium,670,168.5,12,3653,328,43,2644,194,112,12,4,0,8,0,4,0,19,0
Andrés  Oliva,Spain,671,168.3,12,965,2249,444,2724,290,22,13,8,1,4,0,15,0,0,0
Yves  Hézard,France,672,168.1,12,1318,2658,3023,1266,842,220,15,8,3,4,2,8,0,13,0
Juan José  Haedo,Argentina,673,167.9,11,892,176,14,3874,45,234,27,20,0,7,0,7,0,2,0
Guido Van Calster,Belgium,674,167.4,12,2135,1127,350,4178,870,324,14,12,0,2,0,16,0,18,0
Julien  Simon,France,675,167.3,18,3390,1225,209,1548,904,2022,13,4,0,9,0,10,0,15,0
Eberardo  Pavesi,Italy,676,167.5,14,1690,1278,0,2158,514,0,10,5,0,5,0,9,0,13,0
Léon  Scieur,Belgium,677,167.4,10,1065,1360,0,1172,1246,0,6,4,1,1,0,8,1,12,1
Pierre-Raymond  Villemiane,France,678,166.9,11,1218,1382,394,2362,640,417,17,10,1,6,0,8,0,1,0
Patrice  Halgand,France,679,166.8,14,1656,1581,114,2340,474,392,24,16,4,4,0,13,0,7,0
Alfredo  Sivocci,Italy,680,166.8,17,2340,1203,252,2471,602,0,9,5,1,3,1,10,0,23,0
José Joaquín  Rojas,Spain,681,166.6,19,3020,1991,129,4626,1388,3160,10,6,0,4,0,22,0,37,0
Vicente  Carretero,Spain,682,166.7,13,419,923,439,3591,79,0,18,17,0,1,0,6,0,0,0
Bruno  Mealli,Italy,683,166.6,9,2457,413,60,2221,116,8,13,5,0,8,0,8,0,7,0
Loretto  Petrucci,Italy,684,166.3,7,2670,65,26,1091,118,0,6,1,0,5,0,3,0,14,2
Louis  Caput,France,685,166.2,13,1630,444,4,2454,200,392,16,8,2,6,0,11,0,13,0
Aitor  Garmendia,Spain,686,165.8,15,382,2762,3153,723,279,26,17,11,4,2,7,15,0,6,0
Luc  Roosen,Belgium,687,165.5,13,2745,1824,44,2172,582,61,13,10,1,2,0,8,0,17,0
Thomas  Dekker,Netherlands,688,165.6,10,1058,2054,2136,1106,272,93,18,10,3,5,7,5,0,12,0
Kasper  Asgreen,Denmark,689,165.4,9,1594,776,2190,357,482,1410,13,5,0,8,5,6,0,16,1
Teun van Vliet,Netherlands,690,164.8,10,2248,975,184,2260,260,254,13,9,1,3,0,6,0,8,0
Beat  Breu,Switzerland,691,164.6,14,608,3211,1018,1025,765,189,12,8,2,2,5,12,0,4,0
Andrea  Guardini,Italy,692,164.5,13,241,167,1,5200,26,68,43,43,0,0,0,3,0,5,0
Dylan van Baarle,Netherlands,693,164.2,14,2631,1429,1298,626,514,1468,8,1,2,5,1,14,0,24,1
Francis  Castaing,France,694,164.0,10,1320,458,234,3614,75,614,27,23,1,3,0,5,0,3,0
Oliver  Naesen,Belgium,695,163.6,11,4228,1423,49,1313,415,2268,5,1,0,4,0,9,0,25,0
Jean-Claude  Leclercq,France,696,163.6,10,2034,1408,1028,1858,360,100,13,10,0,3,4,8,0,11,0
Robert  Cazala,France,697,163.2,10,915,1436,210,2648,191,226,21,16,3,2,0,11,0,10,0
Wilco  Kelderman,Netherlands,698,163.1,15,648,5803,2650,492,4791,2346,4,2,1,1,3,17,0,13,0
Leo  Amberg,Switzerland,699,163.1,10,1270,1709,512,2485,82,220,11,7,0,4,1,7,0,1,0
Theo  Bos,Netherlands,700,162.5,7,813,247,56,3132,4,48,37,29,1,7,0,3,0,3,0
Gérard  Rué,France,701,162.5,11,2161,1837,479,1820,460,174,12,6,2,4,0,14,0,15,0
Igor  González de Galdeano,Spain,702,162.0,11,224,2604,2953,994,1006,396,12,9,1,2,3,14,0,6,0
Tiesj  Benoot,Belgium,703,161.8,12,4699,1890,83,895,2552,2758,4,2,0,2,0,9,0,27,0
Martial  Gayant,France,704,161.7,12,2605,1246,469,2230,724,392,9,4,1,4,0,7,0,15,0
Armand  Desmet,Belgium,705,161.7,13,2644,2180,136,2688,716,142,7,4,1,2,0,13,0,25,0
Bernard  Vallet,France,706,161.3,14,1459,2070,1530,1890,766,706,17,11,3,3,2,11,0,11,0
Theo de Rooij,Netherlands,707,161.0,13,1970,1653,532,2173,437,343,14,8,1,5,2,13,0,12,0
Roger  Rivière,France,708,160.9,6,130,1076,1540,906,154,6,16,13,2,1,9,3,0,2,0
Marc  Sergeant,Belgium,709,160.7,16,4230,1504,1208,3300,476,958,11,8,1,2,0,13,0,40,0
Bruno  Cornillet,France,710,160.0,13,1920,2443,740,1952,508,107,18,12,2,4,1,12,0,15,0
Herman  Frison,Belgium,711,159.9,14,3032,679,340,3020,72,210,13,6,1,6,0,9,0,18,0
Mathias  Clemens,Luxembourg,712,159.7,13,372,2119,819,2068,96,105,19,12,5,2,2,4,0,0,0
Gustaaf  Desmet,Belgium,713,159.7,11,2998,237,42,3078,18,35,13,3,1,9,0,1,0,8,0
Pierre  Molinéris,France,714,159.4,10,1618,1096,45,1722,928,406,13,5,1,7,0,8,0,8,0
Giuseppe  Azzini,Italy,715,159.4,11,2282,350,220,1550,489,0,8,4,0,4,2,6,0,16,0
Robert  Förster,Germany,716,159.2,16,975,336,174,4694,54,693,28,25,0,3,0,13,0,7,0
Grega  Bole,Slovenia,717,159.3,19,1896,1222,198,2605,460,1050,19,13,1,5,0,11,0,11,0
Louis  Thiétard,France,718,159.2,15,2374,897,481,3016,400,65,10,4,0,6,0,8,0,10,0
Ivan  Gotti,Italy,719,158.6,14,889,2550,702,1062,1252,202,6,3,2,1,0,16,2,7,0
Cesare Del Cancia,Italy,720,158.3,8,1557,1125,216,1984,291,0,8,3,0,5,0,6,0,9,1
Arrigo  Padovan,Italy,721,158.0,12,1676,1006,159,3604,322,158,8,6,0,2,0,14,0,18,0
Francesco  Chicchi,Italy,722,157.7,15,1245,65,1,4694,17,134,32,27,0,5,0,6,0,10,0
Maximiliano  Richeze,Argentina,723,157.9,18,1291,543,151,3822,275,1362,17,14,0,3,0,16,0,14,0
Gustaaf Van Roosbroeck,Belgium,724,157.6,13,3057,464,38,3600,161,267,15,6,1,8,0,4,0,11,0
Emmanuel  Magnien,France,725,157.4,11,2140,998,631,3306,418,757,20,14,2,4,0,9,0,22,0
Georges  Claes,Belgium,726,157.2,13,2978,150,10,1792,50,0,7,1,1,5,0,0,0,15,2
José  Segu,Spain,727,156.4,13,525,1262,292,3492,97,130,21,17,2,2,0,8,0,3,0
Stefano Della Santa,Italy,728,156.2,12,2082,1927,461,1176,506,42,10,4,4,2,1,6,0,11,0
Honoré  Barthélémy,France,729,156.2,11,1380,940,0,1751,839,0,8,4,1,3,0,8,0,5,0
Carlo  Clerici,Switzerland,730,156.1,7,1154,1885,726,1639,70,0,5,1,1,3,1,8,1,4,0
Roberto  Pagnin,Italy,731,156.2,14,1495,280,432,2830,489,518,15,11,1,3,0,16,0,10,0
Michael  Valgren,Denmark,732,155.9,13,2857,1178,453,446,950,1852,8,1,2,5,0,10,0,22,0
Nico  Mattan,Belgium,733,155.9,15,3038,948,1667,2463,223,484,8,4,1,3,3,6,0,24,0
Linus  Gerdemann,Germany,734,155.7,13,648,2277,1219,1099,506,500,15,8,5,2,0,8,0,5,0
Igor  Antón,Spain,735,155.2,15,1139,2901,364,316,2870,581,14,11,2,1,1,21,0,11,0
