ime,drzava,rang,t_alltime,sezone,t_enodnevne,t_GC,t_kronometer,t_sprint,t_gore,t_hribi,zmage,etapne,GC,enodnevne,kronometer,grand tour zac.,grand tour zmage,spomeniki zac.,spomeniki zmage
Edvald  Boasson Hagen,Norway,94,657.5,19,4421,3650,2967,6030,1012,4381,81,54,9,18,15,17,0,43,0
Michele  Dancelli,Italy,95,653.6,12,7836,2333,565,7855,1312,478,53,22,3,28,3,12,0,27,1
Federico  Bahamontes,Spain,96,652.2,14,1898,5037,3145,4928,1334,210,44,24,4,16,10,20,1,2,0
Marino  Basso,Italy,97,648.6,13,5563,612,50,9828,667,934,55,40,1,14,0,18,0,16,0
Adrie van der Poel,Netherlands,98,629.9,20,10565,2085,1294,9292,1183,1088,46,19,2,25,1,12,0,55,2
Thor  Hushovd,Norway,99,626.6,17,4271,1237,2032,8676,789,2983,67,50,3,14,9,16,0,41,0
Mariano  Cañardo,Spain,100,612.8,17,852,4971,955,6754,186,135,70,50,11,9,5,8,0,0,0
Gaetano  Belloni,Italy,101,612.3,18,5384,1270,272,4212,949,0,32,12,1,19,3,11,1,21,5
Danilo Di Luca,Italy,102,612.2,16,5898,2953,950,2892,3826,1104,42,21,5,16,1,17,1,25,2
Charly  Gaul,Luxembourg,103,611.1,14,1178,5092,3411,3715,760,204,48,30,8,10,13,18,3,3,0
Abraham  Olano,Spain,104,605.1,11,1343,5506,7810,1892,1994,804,45,23,12,10,26,17,1,14,0
André  Leducq,France,105,600.9,13,1438,2919,588,6658,830,40,36,29,2,5,1,9,2,3,1
Samuel  Sánchez,Spain,106,592.5,18,4437,6959,2533,2452,6120,2004,34,25,4,5,6,19,0,28,0
Jens  Voigt,Germany,107,592.2,23,1600,6079,5509,3934,1015,749,59,36,15,8,14,20,0,22,0
Damiano  Cunego,Italy,108,592.2,19,5436,5283,1064,1624,5713,1444,45,22,6,17,0,22,1,25,3
Vittorio  Adorni,Italy,109,588.9,10,3645,4183,2577,4335,856,389,40,26,6,8,7,14,1,19,0
Eddy  Planckaert,Belgium,110,588.7,13,4876,514,220,8512,566,846,73,56,2,15,0,13,0,22,2
Pedro  Delgado,Spain,111,586.1,15,1881,8792,4283,2426,5934,1123,25,14,6,5,3,24,3,12,0
Julián  Berrendero,Spain,112,584.2,16,731,4417,1894,6646,116,0,53,34,9,10,6,11,2,0,0
Marcel  Kittel,Germany,113,583.3,13,1908,820,833,6218,1,231,89,71,4,14,0,9,0,3,0
Lucien Van Impe,Belgium,114,582.3,20,1435,7886,4974,2986,5448,1108,30,23,3,4,5,21,1,11,0
Lance  Armstrong,United States,115,574.6,18,3719,4069,8003,2467,4378,1312,23,15,3,5,3,15,0,18,0
Michael  Matthews,Australia,116,572.1,16,7152,862,1678,3372,2119,7134,41,32,0,9,3,15,0,26,0
Italo  Zilioli,Italy,117,567.7,15,6511,4248,1012,6138,1034,370,36,16,2,18,0,17,0,24,0
John  Degenkolb,Germany,118,562.0,17,6399,1226,297,6466,315,3305,48,35,1,12,0,18,0,33,2
Guido  Bontempi,Italy,119,561.7,16,3242,842,1951,5326,224,706,69,53,2,14,1,26,0,20,0
Michel  Pollentier,Belgium,120,551.9,12,3566,4425,6105,3810,1876,542,41,25,7,9,15,14,1,25,1
Diego  Ulissi,Italy,121,550.8,16,5095,5310,1057,911,4418,4295,48,28,8,12,1,13,0,34,0
Stan  Ockers,Belgium,122,549.8,15,4658,3573,1779,5516,3015,1616,23,12,2,9,0,10,0,19,1
Briek  Schotte,Belgium,123,548.7,21,8505,1711,438,4440,875,661,28,7,5,16,1,5,0,48,2
Hennie  Kuiper,Netherlands,124,548.5,18,7448,5471,3779,4080,2508,1080,19,8,2,9,1,19,0,66,4
Nino  Defilippis,Italy,125,545.3,13,4906,2464,1949,5546,724,367,44,28,1,15,1,19,0,25,1
Jasper  Philipsen,Belgium,126,543.2,8,4250,459,152,5248,185,2262,49,33,0,16,0,7,0,10,1
Andrei  Tchmil,Belgium,127,541.4,15,9763,1828,855,7546,490,884,38,18,2,18,0,11,0,44,3
Jaan  Kirsipuu,Estonia,128,541.4,24,4480,761,913,10367,47,855,116,81,2,33,9,15,0,16,0
Viatcheslav  Ekimov,Russia,129,541.0,19,3522,5334,8347,4626,916,776,50,36,6,8,18,21,0,45,0
Michał  Kwiatkowski,Poland,130,537.8,16,4611,3665,3561,766,3279,3518,31,13,4,14,8,13,0,37,1
Richie  Porte,Australia,131,537.0,15,334,7697,4287,254,4406,2044,33,22,10,1,8,17,0,6,0
Rui  Costa,Portugal,132,534.2,18,4326,6226,1621,668,5336,2659,33,15,7,11,3,17,0,32,0
Henri  Pélissier,France,133,527.5,13,4092,1152,50,2694,1320,0,29,13,1,15,0,8,1,17,6
Dietrich  Thurau,Germany,134,524.3,11,4165,2964,5084,4123,869,740,52,37,5,10,12,14,0,20,1
Jonas  Vingegaard,Denmark,135,523.2,9,320,4436,1784,129,4125,1258,35,26,8,1,2,6,2,6,0
Claude  Criquielion,Belgium,136,521.0,15,6913,5098,3246,3176,2872,658,31,12,6,13,4,15,0,36,1
Geraint  Thomas,Great Britain,137,518.6,20,1267,6394,5423,909,4202,2690,25,11,10,4,5,21,1,19,0
Ercole  Baldini,Italy,138,518.0,9,2397,1531,2864,2302,412,183,33,9,1,23,15,11,1,9,0
Raymond  Impanis,Belgium,139,516.9,18,7148,3940,1463,4714,1544,862,28,14,6,8,1,15,0,51,2
Pascal  Richard,Switzerland,140,514.8,16,4321,2271,1465,2994,1404,116,42,21,3,18,2,15,0,16,2
Nacer  Bouhanni,France,141,513.0,14,4554,464,51,7848,203,1942,70,49,2,19,0,10,0,7,0
Ludo  Peeters,Belgium,142,509.4,17,7450,1917,1733,5720,1280,910,42,18,2,22,2,12,0,33,0
Rik Van Linden,Belgium,143,507.5,13,3641,498,256,7461,312,696,47,36,1,10,2,13,0,13,0
Erik  Breukink,Netherlands,144,505.9,14,1322,6070,8837,1793,1494,800,43,30,8,5,22,19,0,19,0
Jean  Stablinski,France,145,502.9,17,3831,3010,696,5183,514,450,47,23,5,19,2,20,1,23,0
Adam  Yates,Great Britain,146,502.0,12,2261,6628,1211,150,6854,1928,28,16,8,4,0,13,0,13,0
Jean-Luc  Vandenbroucke,Belgium,147,498.2,14,4366,3347,6757,4282,636,605,55,37,9,9,28,11,0,31,0
Giovanni  Brunero,Italy,148,497.9,10,4041,2180,50,4102,888,0,19,7,3,9,0,9,3,15,3
Sam  Bennett,Ireland,149,497.1,16,2653,530,135,6175,130,1846,67,56,1,10,0,9,0,10,0
Caleb  Ewan,Australia,150,496.2,12,2562,333,148,5607,186,2064,62,53,1,8,0,12,0,7,0
Giovanni  Battaglin,Italy,151,494.4,12,3933,3759,2150,4046,1048,393,34,16,5,13,5,16,2,3,0
François  Faber,Luxembourg,152,494.0,9,2414,2178,0,1656,2727,0,27,20,1,6,0,9,1,11,2
Patrick  Sercu,Belgium,153,492.2,14,3186,561,276,7714,108,218,57,49,1,7,0,9,0,15,0
Roberto  Heras,Spain,154,487.0,10,683,5381,2032,1240,3800,797,22,13,6,3,1,16,4,5,0
Gerben  Karstens,Netherlands,155,486.4,15,4078,1065,1583,9686,1049,1774,45,38,0,7,2,19,0,29,0
Simon  Gerrans,Australia,156,486.0,17,4415,2136,381,1493,1252,2100,33,15,7,11,0,19,0,22,2
Silvano  Contini,Italy,157,486.1,13,4593,3317,1427,3790,590,38,36,16,7,13,3,14,0,17,1
Jakob  Fuglsang,Denmark,158,482.8,20,3591,6615,1693,630,5753,2364,27,12,10,5,2,18,0,25,2
Dylan  Groenewegen,Netherlands,159,482.8,13,3882,380,15,7662,38,967,74,57,0,17,0,8,0,5,0
Gilbert  Duclos-Lassalle,France,160,481.0,20,5024,3403,4269,4724,268,368,46,25,11,10,7,16,0,37,2
Antonin  Magne,France,161,479.1,15,1995,3331,1300,5210,812,18,26,13,3,10,5,12,2,3,0
Guido  Reybrouck,Belgium,162,473.6,12,3511,828,9,6438,634,1093,44,30,2,12,0,12,0,11,0
Daniele  Bennati,Italy,163,471.5,19,3137,1090,1107,6331,512,2610,53,43,2,8,1,25,0,29,0
Stefano  Garzelli,Italy,164,469.8,18,3037,4014,1910,2960,3664,1617,35,22,4,9,1,20,1,15,0
Dan  Martin,Ireland,165,468.3,17,3462,6005,454,518,6649,2377,22,13,3,6,0,19,0,26,2
Alfred De Bruyne,Belgium,166,467.5,9,5190,1335,786,3670,437,21,25,13,2,10,1,7,0,24,6
Tim  Wellens,Belgium,167,463.4,15,3862,3866,1216,340,2280,2616,37,20,8,9,3,9,0,32,0
Gustave  Garrigou,France,168,463.1,10,2659,2970,0,1913,3098,0,19,10,1,8,0,8,1,15,2
Sylvain  Chavanel,France,169,461.5,20,3139,5574,5689,2536,1368,1656,46,22,10,14,15,23,0,44,0
Djamolidine  Abduzhaparov,Uzbekistan,170,461.5,12,1433,489,336,6154,528,2078,53,47,0,6,0,17,0,15,0
Luis León  Sánchez,Spain,171,459.6,20,2016,5915,2995,1526,3076,2537,47,31,5,11,7,31,0,24,0
Ivan  Basso,Italy,172,457.6,19,3133,5190,2001,1328,4922,800,30,19,6,5,5,20,2,21,0
Thibaut  Pinot,France,173,457.0,15,1919,6903,1547,198,7740,1537,33,23,7,3,3,18,0,9,1
Philippe  Thys,Belgium,174,454.4,14,1663,2160,0,2941,1671,0,23,13,3,7,0,10,3,9,1
Jelle  Nijdam,Netherlands,175,453.1,13,3089,1866,4910,4142,115,248,65,47,7,11,26,12,0,14,0
Olaf  Ludwig,Germany,176,452.5,17,3820,1410,1603,6954,140,1178,98,84,4,10,12,7,0,14,0
Gilberto  Simoni,Italy,177,450.5,20,1883,4508,1052,1442,4483,610,25,16,3,6,0,25,2,12,0
Wladimiro  Panizza,Italy,178,450.7,19,6713,6069,1256,6228,2130,313,20,8,2,10,1,23,0,34,0
Johan van der Velde,Netherlands,179,447.5,13,3088,3634,1348,6652,1516,1133,37,29,3,5,2,12,0,17,0
Mads  Pedersen,Denmark,180,445.1,11,3682,1248,1567,2668,298,2538,42,28,5,9,5,9,0,18,0
Richard  Virenque,France,181,443.0,15,3891,5398,974,3526,4630,557,21,14,0,7,0,18,0,25,0
Joaquim  Agostinho,Portugal,182,441.0,16,494,7104,8863,2250,3524,1058,60,42,5,13,25,19,0,3,0
Levi  Leipheimer,United States,183,440.9,15,431,5979,6667,1068,3050,730,41,25,13,3,16,15,0,7,0
Bradley  Wiggins,Great Britain,184,440.4,16,274,3525,6515,352,1639,952,35,21,8,6,24,13,1,22,0
Erik  Dekker,Netherlands,185,440.3,16,3620,3263,3734,2998,672,630,45,23,11,11,13,14,0,27,0
Frank  Vandenbroucke,Belgium,186,440.3,14,4207,2024,1564,2930,676,429,44,24,6,14,7,5,0,19,1
Filippo  Pozzato,Italy,187,439.9,18,6253,1123,517,3722,558,1880,32,10,2,20,0,16,0,51,1
Tom  Steels,Belgium,188,435.1,15,3273,155,213,6631,82,473,66,52,0,14,0,9,0,14,0
Tom  Dumoulin,Netherlands,189,432.2,13,1147,4404,6256,326,3160,2208,22,15,2,5,17,14,1,19,0
Jean-Paul van Poppel,Netherlands,190,429.7,14,897,436,61,6056,106,1016,68,63,1,4,0,15,0,4,0
Thomas  Voeckler,France,191,427.3,19,3277,3209,566,2816,1965,1025,45,22,12,11,1,20,0,32,0
Simon  Yates,Great Britain,192,425.4,14,1088,5280,1199,299,5806,1710,34,26,5,3,2,16,1,9,0
Fons de Wolf,Belgium,193,422.4,15,5602,1494,1484,4354,871,412,32,19,0,13,2,9,0,2,2
Sonny  Colbrelli,Italy,194,420.6,13,5472,1172,142,3006,1006,3117,34,14,2,18,0,10,0,18,1
Robert  Millar,Great Britain,195,420.6,17,2723,7427,2372,2590,2984,286,17,12,3,2,2,18,0,24,0
